TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709623626	28.56	20.20	4.45	4.43	4.61	4.41
1709623627	28.57	20.20	4.45	4.43	4.61	4.41
1709623628	28.56	20.19	4.45	4.43	4.61	4.41
1709623629	28.50	20.19	4.45	4.43	4.61	4.41
1709623630	28.59	20.20	4.45	4.43	4.61	4.41
1709623631	28.58	20.18	4.45	4.43	4.61	4.41
1709623632	28.46	20.19	4.45	4.43	4.61	4.41
1709623633	28.43	20.19	4.45	4.43	4.61	4.41
1709623634	28.47	20.20	4.45	4.43	4.61	4.41
1709623635	28.60	20.20	4.45	4.43	4.61	4.41
1709623636	28.61	20.19	4.45	4.43	4.61	4.41
1709623637	28.51	20.18	4.45	4.43	4.61	4.41
1709623638	28.52	20.19	4.45	4.43	4.61	4.41
1709623639	28.52	20.19	4.45	4.43	4.61	4.41
1709623640	28.49	20.19	4.45	4.43	4.61	4.41
1709623641	28.65	20.19	4.45	4.43	4.61	4.41
1709623642	28.50	20.18	4.45	4.43	4.61	4.41
1709623643	28.51	20.19	4.45	4.43	4.61	4.41
1709623644	28.52	20.19	4.45	4.43	4.61	4.41
1709623645	28.49	20.18	4.45	4.43	4.61	4.41
1709623646	28.44	20.18	4.45	4.43	4.61	4.41
1709623647	28.47	20.20	4.45	4.43	4.61	4.41
1709623648	28.54	20.19	4.45	4.43	4.61	4.41
1709623649	28.49	20.19	4.45	4.43	4.61	4.41
1709623650	28.53	20.20	4.45	4.43	4.61	4.41
1709623651	28.65	20.19	4.45	4.43	4.61	4.41
1709623652	28.51	20.19	4.45	4.43	4.61	4.41
1709623653	28.60	20.19	4.45	4.43	4.61	4.41
1709623654	28.57	20.19	4.45	4.43	4.61	4.41
1709623655	28.46	20.19	4.45	4.43	4.61	4.41
1709623656	28.47	20.18	4.45	4.43	4.61	4.41
1709623657	28.56	20.19	4.45	4.43	4.61	4.41
1709623658	28.49	20.18	4.45	4.43	4.61	4.41
1709623659	28.45	20.20	4.45	4.43	4.61	4.41
1709623660	28.39	20.19	4.45	4.43	4.61	4.41
1709623661	28.60	20.20	4.45	4.43	4.61	4.41
1709623662	28.59	20.18	4.45	4.43	4.61	4.41
1709623663	28.58	20.19	4.45	4.43	4.61	4.41
1709623664	28.67	20.21	4.45	4.43	4.61	4.41
1709623665	28.65	20.19	4.45	4.43	4.61	4.41
1709623666	28.43	20.21	4.45	4.43	4.61	4.41
1709623667	28.52	20.19	4.45	4.43	4.61	4.41
1709623668	28.47	20.18	4.45	4.43	4.61	4.41
1709623669	28.48	20.18	4.45	4.43	4.61	4.41
1709623670	28.50	20.18	4.45	4.43	4.61	4.41
1709623671	28.60	20.19	4.45	4.43	4.61	4.41
1709623672	28.48	20.19	4.45	4.43	4.61	4.41
1709623673	28.50	20.18	4.45	4.43	4.61	4.41
1709623674	28.35	20.19	4.45	4.43	4.61	4.41
1709623675	28.41	20.19	4.45	4.43	4.61	4.41
1709623676	28.47	20.17	4.45	4.43	4.61	4.41
1709623677	28.56	20.19	4.45	4.43	4.61	4.41
1709623678	28.48	20.20	4.45	4.43	4.61	4.41
1709623679	28.43	20.18	4.45	4.43	4.61	4.41
1709623680	28.42	20.18	4.45	4.43	4.61	4.41
1709623681	28.44	20.19	4.45	4.43	4.61	4.41
1709623682	28.42	20.18	4.45	4.43	4.61	4.41
1709623683	28.52	20.19	4.45	4.43	4.61	4.41
1709623684	28.53	20.20	4.45	4.43	4.61	4.41
1709623685	28.60	20.19	4.45	4.43	4.61	4.41
1709623686	28.50	20.19	4.45	4.43	4.61	4.41
1709623687	28.53	20.18	4.45	4.43	4.61	4.41
1709623688	28.52	20.18	4.45	4.43	4.61	4.41
1709623689	28.39	20.19	4.45	4.43	4.61	4.41
1709623690	28.43	20.18	4.45	4.43	4.61	4.41
1709623691	28.52	20.20	4.45	4.43	4.61	4.41
1709623692	28.55	20.17	4.45	4.43	4.61	4.41
1709623693	28.52	20.17	4.45	4.43	4.61	4.41
1709623694	28.43	20.20	4.45	4.43	4.61	4.41
1709623695	28.53	20.19	4.45	4.43	4.61	4.41
1709623696	28.52	20.19	4.45	4.43	4.61	4.41
1709623697	28.56	20.20	4.45	4.43	4.61	4.41
1709623698	28.49	20.18	4.45	4.43	4.61	4.41
1709623699	28.51	20.18	4.45	4.43	4.61	4.41
1709623700	28.42	20.19	4.45	4.43	4.61	4.41
1709623701	28.55	20.19	4.45	4.43	4.61	4.41
1709623702	28.44	20.18	4.45	4.43	4.61	4.41
1709623703	28.40	20.18	4.45	4.43	4.61	4.41
1709623704	28.51	20.19	4.45	4.43	4.61	4.41
1709623705	28.59	20.18	4.45	4.43	4.61	4.41
1709623706	28.48	20.18	4.45	4.43	4.61	4.41
1709623707	28.51	20.19	4.45	4.43	4.61	4.41
1709623708	28.42	20.19	4.45	4.43	4.61	4.41
1709623709	28.42	20.19	4.45	4.43	4.61	4.41
1709623710	28.52	20.18	4.45	4.43	4.61	4.41
1709623711	28.50	20.19	4.45	4.43	4.61	4.41
1709623712	28.49	20.17	4.45	4.43	4.61	4.41
1709623713	28.44	20.18	4.45	4.43	4.61	4.41
1709623714	28.46	20.17	4.45	4.43	4.61	4.41
1709623715	28.59	20.18	4.45	4.43	4.61	4.41
1709623716	28.51	20.19	4.45	4.43	4.61	4.41
1709623717	28.45	20.19	4.45	4.43	4.61	4.41
1709623718	28.62	20.19	4.45	4.43	4.61	4.41
1709623719	28.46	20.17	4.45	4.43	4.61	4.41
1709623720	28.47	20.18	4.45	4.43	4.61	4.41
1709623721	28.63	20.18	4.45	4.43	4.61	4.41
1709623722	28.65	20.18	4.45	4.43	4.61	4.41
1709623723	28.57	20.18	4.45	4.43	4.61	4.41
1709623724	28.57	20.18	4.45	4.43	4.61	4.41
1709623725	28.46	20.19	4.45	4.43	4.61	4.41
1709623726	28.37	20.17	4.45	4.43	4.61	4.41
1709623727	28.43	20.18	4.45	4.43	4.61	4.41
1709623728	28.56	20.18	4.45	4.43	4.61	4.41
1709623729	28.49	20.16	4.45	4.43	4.61	4.41
1709623730	28.54	20.16	4.45	4.43	4.61	4.41
1709623731	28.52	20.18	4.45	4.43	4.61	4.41
1709623732	28.58	20.18	4.45	4.43	4.61	4.41
1709623733	28.56	20.18	4.45	4.43	4.61	4.41
1709623734	28.48	20.17	4.45	4.43	4.61	4.41
1709623735	28.65	20.18	4.45	4.43	4.61	4.41
1709623736	28.51	20.17	4.45	4.43	4.61	4.41
1709623737	28.45	20.18	4.45	4.43	4.61	4.41
1709623738	28.48	20.18	4.45	4.43	4.61	4.41
1709623739	28.37	20.15	4.45	4.43	4.61	4.41
1709623740	28.51	20.19	4.45	4.43	4.61	4.41
1709623741	28.56	20.19	4.45	4.43	4.61	4.41
1709623742	28.51	20.18	4.45	4.43	4.61	4.41
1709623743	28.43	20.17	4.45	4.43	4.61	4.41
1709623744	28.47	20.18	4.45	4.43	4.61	4.41
1709623745	28.65	20.16	4.45	4.43	4.61	4.41
1709623746	28.36	20.18	4.45	4.43	4.61	4.41
1709623747	28.44	20.17	4.45	4.43	4.61	4.41
1709623748	28.45	20.18	4.45	4.43	4.61	4.41
1709623749	28.49	20.18	4.45	4.43	4.61	4.41
1709623750	28.46	20.18	4.45	4.43	4.61	4.41
1709623751	28.49	20.18	4.45	4.43	4.61	4.41
1709623752	28.48	20.17	4.45	4.43	4.61	4.41
1709623753	28.60	20.16	4.45	4.43	4.61	4.41
1709623754	28.53	20.17	4.45	4.43	4.61	4.41
1709623755	28.51	20.16	4.45	4.43	4.61	4.41
1709623756	28.49	20.17	4.45	4.43	4.61	4.41
1709623757	28.55	20.16	4.45	4.43	4.61	4.41
1709623758	28.54	20.17	4.45	4.43	4.61	4.41
1709623759	28.51	20.15	4.45	4.43	4.61	4.41
1709623760	28.44	20.17	4.45	4.43	4.61	4.41
1709623761	28.41	20.18	4.45	4.43	4.61	4.41
1709623762	28.55	20.15	4.45	4.43	4.61	4.41
1709623763	28.52	20.16	4.45	4.43	4.61	4.41
1709623764	28.60	20.17	4.45	4.43	4.61	4.41
1709623765	28.61	20.17	4.45	4.43	4.61	4.41
1709623766	28.46	20.15	4.45	4.43	4.61	4.41
1709623767	28.45	20.17	4.45	4.43	4.61	4.41
1709623768	28.41	20.18	4.45	4.43	4.61	4.41
1709623769	28.35	20.17	4.45	4.43	4.61	4.41
1709623770	28.40	20.16	4.45	4.43	4.61	4.41
1709623771	28.49	20.18	4.45	4.43	4.61	4.41
1709623772	28.50	20.17	4.45	4.43	4.61	4.41
1709623773	28.48	20.17	4.45	4.43	4.61	4.41
