TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1709776039	12.62	4.07	5.24	5.14	22.02	8.44	0	0	0	0
1709776040	12.63	4.07	5.23	5.13	22.03	8.40	0	0	0	0
1709776041	12.62	4.07	5.23	5.12	22.03	8.37	0	0	0	0
1709776042	12.65	4.07	5.23	5.11	22.03	8.33	0	0	0	0
1709776043	12.63	4.07	5.23	5.10	22.03	8.30	0	0	0	0
1709776044	12.65	4.07	5.23	5.10	22.04	8.27	0	0	0	0
1709776045	12.64	4.07	5.23	5.09	22.04	8.24	0	0	0	0
1709776046	12.65	4.07	5.23	5.08	22.04	8.21	0	0	0	0
1709776047	12.63	4.07	5.23	5.07	22.04	8.18	0	0	0	0
1709776048	12.64	4.07	5.23	5.07	22.05	8.15	0	0	0	0
1709776049	12.64	4.08	5.22	5.06	22.05	8.13	0	0	0	0
1709776050	12.63	4.08	5.22	5.05	22.09	8.09	0	0	0	0
1709776051	12.64	4.08	5.22	5.04	22.13	8.07	0	0	0	0
1709776052	12.64	4.08	5.22	5.04	22.22	8.03	0	0	0	0
1709776053	12.65	4.09	5.22	5.03	22.30	8.01	0	0	0	0
1709776054	12.63	4.10	5.22	5.03	22.45	7.98	0	0	0	0
1709776055	12.64	4.10	5.22	5.02	22.55	7.96	0	0	0	0
1709776056	12.64	4.11	5.22	5.02	22.72	7.92	0	0	0	0
1709776057	12.64	4.12	5.22	5.01	22.83	7.90	0	0	0	0
1709776058	12.65	4.13	5.22	5.01	23.00	7.87	0	0	0	0
1709776059	12.63	4.14	5.23	5.01	23.18	7.85	0	0	0	0
1709776060	12.63	4.15	5.23	5.01	23.44	7.81	0	0	0	0
1709776061	12.61	4.17	5.23	5.00	23.60	7.80	0	0	0	0
1709776062	12.65	4.18	5.23	5.01	23.83	7.77	0	0	0	0
1709776063	12.62	4.19	5.23	5.01	23.96	7.75	0	0	0	0
1709776064	12.61	4.20	5.23	5.01	24.21	7.73	0	0	0	0
1709776065	12.62	4.22	5.23	5.01	24.38	7.72	0	0	0	0
1709776066	12.62	4.23	5.23	5.02	24.61	7.70	0	0	0	0
1709776067	12.61	4.24	5.23	5.02	24.75	7.68	0	0	0	0
1709776068	12.65	4.26	5.23	5.03	24.94	7.66	0	0	0	0
1709776069	12.63	4.27	5.23	5.03	25.08	7.64	0	0	0	0
1709776070	12.64	4.28	5.23	5.04	25.29	7.61	0	0	0	0
1709776071	12.63	4.30	5.23	5.05	25.42	7.60	0	0	0	0
1709776072	12.63	4.31	5.23	5.06	25.61	7.57	0	0	0	0
1709776073	12.62	4.32	5.24	5.07	25.72	7.55	0	0	0	0
1709776074	12.63	4.34	5.24	5.07	25.89	7.53	0	0	0	0
1709776075	12.64	4.35	5.24	5.09	26.00	7.51	0	0	0	0
1709776076	12.64	4.36	5.24	5.09	26.17	7.49	0	0	0	0
1709776077	12.62	4.38	5.24	5.11	26.29	7.48	0	0	0	0
1709776078	12.64	4.39	5.24	5.11	26.45	7.45	0	0	0	0
1709776079	12.62	4.40	5.24	5.13	26.55	7.44	0	0	0	0
1709776080	12.60	4.42	5.24	5.14	26.71	7.42	0	0	0	0
1709776081	12.62	4.43	5.24	5.15	26.80	7.40	0	0	0	0
1709776082	12.64	4.45	5.24	5.16	26.95	7.38	0	0	0	0
1709776083	12.63	4.46	5.25	5.17	27.04	7.37	0	0	0	0
1709776084	12.64	4.48	5.25	5.18	27.17	7.34	0	0	0	0
1709776085	12.65	4.49	5.25	5.19	27.23	7.33	0	0	0	0
1709776086	12.65	4.50	5.25	5.20	27.29	7.31	0	0	0	0
1709776087	12.62	4.51	5.25	5.21	27.31	7.30	0	0	0	0
1709776088	12.63	4.52	5.25	5.22	27.29	7.28	0	0	0	0
1709776089	12.63	4.53	5.25	5.23	27.26	7.27	0	0	0	0
1709776090	12.61	4.54	5.25	5.24	27.18	7.25	0	0	0	0
1709776091	12.62	4.54	5.25	5.25	27.11	7.23	0	0	0	0
1709776092	12.63	4.55	5.25	5.25	27.00	7.21	0	0	0	0
1709776093	12.63	4.56	5.25	5.26	26.92	7.20	0	0	0	0
1709776094	12.62	4.56	5.25	5.27	26.79	7.18	0	0	0	0
1709776095	12.64	4.57	5.25	5.27	26.71	7.17	0	0	0	0
1709776096	12.64	4.57	5.25	5.28	26.58	7.15	0	0	0	0
1709776097	12.60	4.58	5.25	5.28	26.50	7.14	0	0	0	0
1709776098	12.63	4.58	5.25	5.28	26.40	7.12	0	0	0	0
1709776099	12.64	4.59	5.25	5.29	26.36	7.11	0	0	0	0
1709776100	12.61	4.60	5.25	5.29	26.33	7.09	0	0	0	0
1709776101	12.64	4.60	5.25	5.29	26.34	7.08	0	0	0	0
1709776102	12.64	4.61	5.25	5.30	26.40	7.06	0	0	0	0
1709776103	12.63	4.62	5.26	5.30	26.47	7.04	0	0	0	0
1709776104	12.63	4.63	5.26	5.30	26.60	7.03	0	0	0	0
1709776105	12.64	4.64	5.26	5.31	26.70	7.01	0	0	0	0
1709776106	12.64	4.66	5.26	5.31	26.87	7.00	0	0	0	0
1709776107	12.61	4.67	5.26	5.32	26.98	6.98	0	0	0	0
1709776108	12.64	4.68	5.27	5.32	27.18	6.97	0	0	0	0
1709776109	12.66	4.69	5.27	5.32	27.32	6.96	0	0	0	0
1709776110	12.65	4.70	5.27	5.33	27.51	6.95	0	0	0	0
1709776111	12.65	4.72	5.27	5.34	27.64	6.94	0	0	0	0
1709776112	12.63	4.73	5.27	5.34	27.84	6.93	0	0	0	0
1709776113	12.62	4.74	5.28	5.35	27.96	6.92	0	0	0	0
1709776114	12.63	4.76	5.28	5.35	28.14	6.92	0	0	0	0
1709776115	12.63	4.77	5.28	5.36	28.26	6.91	0	0	0	0
1709776116	12.63	4.78	5.28	5.37	28.42	6.90	0	0	0	0
1709776117	12.63	4.80	5.29	5.38	28.53	6.89	0	0	0	0
1709776118	12.64	4.81	5.29	5.39	28.69	6.88	0	0	0	0
1709776119	12.63	4.83	5.29	5.40	28.79	6.87	0	0	0	0
1709776120	12.64	4.84	5.30	5.40	28.93	6.86	0	0	0	0
1709776121	12.64	4.85	5.30	5.41	29.02	6.85	0	0	0	0
1709776122	12.63	4.87	5.30	5.42	29.16	6.84	0	0	0	0
1709776123	12.62	4.88	5.31	5.43	29.24	6.83	0	0	0	0
1709776124	12.61	4.89	5.31	5.44	29.36	6.82	0	0	0	0
1709776125	12.61	4.91	5.31	5.45	29.44	6.82	0	0	0	0
1709776126	12.63	4.92	5.31	5.46	29.56	6.81	0	0	0	0
1709776127	12.63	4.93	5.32	5.47	29.63	6.80	0	0	0	0
1709776128	12.64	4.95	5.32	5.48	29.75	6.79	0	0	0	0
1709776129	12.64	4.96	5.32	5.49	29.82	6.79	0	0	0	0
1709776130	12.62	4.98	5.33	5.50	29.92	6.78	0	0	0	0
1709776131	12.62	4.99	5.33	5.51	29.99	6.77	0	0	0	0
1709776132	12.64	5.00	5.33	5.52	30.11	6.77	0	0	0	0
1709776133	12.62	5.02	5.33	5.54	30.18	6.76	0	0	0	0
1709776134	12.63	5.03	5.34	5.54	30.26	6.76	0	0	0	0
1709776135	12.63	5.04	5.34	5.56	30.30	6.75	0	0	0	0
1709776136	12.64	5.05	5.34	5.56	30.33	6.74	0	0	0	0
1709776137	12.63	5.06	5.34	5.58	30.32	6.74	0	0	0	0
1709776138	12.62	5.07	5.34	5.58	30.29	6.73	0	0	0	0
1709776139	12.62	5.08	5.35	5.59	30.25	6.73	0	0	0	0
1709776140	12.61	5.09	5.35	5.60	30.18	6.73	0	0	0	0
1709776141	12.62	5.10	5.35	5.61	30.11	6.72	0	0	0	0
1709776142	12.64	5.10	5.35	5.62	30.01	6.72	0	0	0	0
1709776143	12.64	5.11	5.35	5.62	29.94	6.71	0	0	0	0
1709776144	12.63	5.12	5.35	5.63	29.84	6.71	0	0	0	0
1709776145	12.65	5.12	5.36	5.63	29.77	6.70	0	0	0	0
1709776146	12.63	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709776147	12.61	5.12	5.36	5.64	29.59	6.86	0	0	0	1
1709776148	12.63	5.13	5.36	5.65	29.48	7.38	0	0	0	1
1709776149	12.65	5.13	5.36	5.65	29.41	7.82	0	0	0	1
1709776150	12.64	5.13	5.36	5.66	29.31	8.51	0	0	0	1
1709776151	12.62	5.13	5.37	5.66	29.25	8.97	0	0	0	1
1709776152	12.64	5.13	5.37	5.66	29.15	9.62	0	0	0	1
1709776153	12.64	5.13	5.37	5.67	29.09	10.03	0	0	0	1
1709776154	12.63	5.13	5.37	5.67	29.00	10.61	0	0	0	1
1709776155	12.65	5.12	5.37	5.67	28.94	10.96	0	0	0	1
1709776156	12.64	5.12	5.37	5.67	28.86	11.46	0	0	0	1
1709776157	12.62	5.12	5.37	5.67	28.80	11.76	0	0	0	1
1709776158	12.63	5.12	5.38	5.67	28.72	12.18	0	0	0	1
1709776159	12.66	5.12	5.38	5.68	28.67	12.42	0	0	0	1
1709776160	12.65	5.12	5.38	5.68	28.60	12.77	0	0	0	1
1709776161	12.62	5.11	5.38	5.68	28.56	12.97	0	0	0	1
1709776162	12.63	5.11	5.38	5.68	28.49	13.25	0	0	0	1
1709776163	12.64	5.11	5.38	5.68	28.45	13.42	0	0	0	1
1709776164	12.61	5.10	5.38	5.68	28.39	13.64	0	0	0	1
1709776165	12.64	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709776166	12.64	5.10	5.38	5.69	28.25	13.86	0	0	0	0
1709776167	12.62	5.10	5.39	5.70	28.15	13.87	0	0	0	0
1709776168	12.62	5.10	5.39	5.71	27.93	13.83	0	0	0	0
1709776169	12.62	5.10	5.39	5.73	27.74	13.78	0	0	0	0
1709776170	12.64	5.10	5.39	5.75	27.43	13.68	0	0	0	0
1709776171	12.61	5.11	5.39	5.77	27.22	13.62	0	0	0	0
1709776172	12.65	5.11	5.39	5.79	26.90	13.51	0	0	0	0
1709776173	12.62	5.11	5.39	5.81	26.71	13.45	0	0	0	0
1709776174	12.64	5.12	5.39	5.83	26.44	13.36	0	0	0	0
1709776175	12.64	5.12	5.39	5.86	26.28	13.30	0	0	0	0
1709776176	12.64	5.12	5.40	5.88	26.06	13.21	0	0	0	0
1709776177	12.63	5.12	5.40	5.91	25.95	13.15	0	0	0	0
1709776178	12.60	5.13	5.40	5.93	25.81	13.07	0	0	0	0
1709776179	12.63	5.13	5.40	5.96	25.73	13.02	0	0	0	0
1709776180	12.64	5.13	5.40	5.98	25.64	12.95	0	0	0	0
1709776181	12.59	5.13	5.40	6.01	25.58	12.90	0	0	0	0
1709776182	12.61	5.13	5.40	6.02	25.52	12.83	0	0	0	0
1709776183	12.62	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709776184	12.62	5.13	5.40	6.07	25.45	12.77	0	0	0	1
1709776185	12.62	5.13	5.41	6.09	25.43	12.82	0	0	0	1
1709776186	12.64	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709776187	12.63	5.14	5.41	6.13	25.37	13.06	0	0	0	0
1709776188	12.63	5.14	5.41	6.15	25.31	13.15	0	0	0	0
1709776189	12.61	5.14	5.41	6.17	25.26	13.18	0	0	0	0
1709776190	12.60	5.14	5.41	6.19	25.17	13.18	0	0	0	0
1709776191	12.60	5.14	5.41	6.21	25.11	13.16	0	0	0	0
1709776192	12.63	5.14	5.41	6.23	25.02	13.12	0	0	0	0
1709776193	12.62	5.14	5.42	6.25	24.98	13.09	0	0	0	0
1709776194	12.61	5.14	5.42	6.26	24.92	13.03	0	0	0	0
1709776195	12.62	5.14	5.42	6.28	24.89	13.00	0	0	0	0
1709776196	12.62	5.14	5.42	6.30	24.85	12.94	0	0	0	0
1709776197	12.62	5.14	5.42	6.31	24.83	12.90	0	0	0	0
1709776198	12.62	5.14	5.42	6.33	24.81	12.85	0	0	0	0
1709776199	12.64	5.14	5.42	6.34	24.80	12.81	0	0	0	0
1709776200	12.63	5.14	5.42	6.35	24.80	12.75	0	0	0	0
1709776201	12.64	5.14	5.43	6.37	24.80	12.71	0	0	0	0
