TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1717513348	86.098	8.329	10.376	21.227	17.223	10.026	90.794	0	0	0	0
1717513349	86.804	8.334	10.384	21.216	17.222	10.033	90.816	0	0	0	0
1717513350	86.815	8.339	10.392	21.236	17.222	10.040	90.797	0	0	0	0
1717513351	86.213	8.344	10.399	21.277	17.222	10.047	90.791	0	0	0	0
1717513352	86.346	8.349	10.406	21.273	17.221	10.053	90.808	0	0	0	0
1717513353	86.336	8.354	10.414	21.292	17.221	10.060	90.796	0	0	0	0
1717513354	85.969	8.359	10.420	21.291	17.221	10.066	90.801	0	0	0	0
1717513355	86.614	8.363	10.427	21.274	17.221	10.072	90.786	0	0	0	0
1717513356	86.180	8.368	10.434	21.299	17.220	10.078	90.790	0	0	0	0
1717513357	85.830	8.373	10.441	21.329	17.220	10.084	90.786	0	0	0	0
1717513358	86.690	8.378	10.447	21.320	17.220	10.090	90.793	0	0	0	0
1717513359	86.549	8.383	10.454	21.332	17.219	10.096	90.780	0	0	0	0
1717513360	86.107	8.387	10.460	21.319	17.219	10.102	90.799	0	0	0	0
1717513361	86.301	8.392	10.467	21.358	17.219	10.107	90.785	0	0	0	0
1717513362	86.508	8.397	10.473	21.355	17.218	10.113	90.793	0	0	0	0
1717513363	85.822	8.402	10.480	21.377	17.218	10.119	90.780	0	0	0	0
1717513364	85.765	8.407	10.486	21.370	17.218	10.125	90.794	0	0	0	0
1717513365	85.708	8.412	10.492	21.382	17.217	10.131	90.768	0	0	0	0
1717513366	86.422	8.417	10.499	21.391	17.217	10.136	90.797	0	0	0	0
1717513367	86.168	8.422	10.506	21.416	17.217	10.142	90.756	0	0	0	0
1717513368	86.172	8.427	10.513	21.430	17.216	10.148	90.782	0	0	0	0
1717513369	86.168	8.432	10.520	21.424	17.216	10.154	90.809	0	0	0	0
1717513370	86.684	8.437	10.527	21.431	17.215	10.160	90.772	0	0	0	0
1717513371	86.557	8.442	10.534	21.437	17.215	10.165	90.755	0	0	0	0
1717513372	86.238	8.447	10.540	21.451	17.215	10.171	90.793	0	0	0	0
1717513373	85.714	8.453	10.547	21.467	17.214	10.177	90.790	0	0	0	0
1717513374	86.499	8.458	10.554	21.470	17.214	10.183	90.786	0	0	0	0
1717513375	85.759	8.463	10.561	21.485	17.214	10.189	90.781	0	0	0	0
1717513376	86.168	8.468	10.568	21.496	17.213	10.194	90.778	0	0	0	0
1717513377	86.428	8.473	10.575	21.509	17.213	10.200	90.768	0	0	0	0
1717513378	85.413	8.479	10.582	21.515	17.212	10.206	90.797	0	0	0	0
1717513379	85.247	8.484	10.589	21.528	17.212	10.212	90.784	0	0	0	0
1717513380	84.938	8.489	10.595	21.528	17.211	10.217	90.772	0	0	0	0
1717513381	85.826	8.495	10.602	21.538	17.211	10.223	90.782	0	0	0	0
1717513382	86.424	8.500	10.609	21.552	17.210	10.229	90.765	0	0	0	0
1717513383	86.201	8.506	10.616	21.558	17.210	10.235	90.788	0	0	0	0
1717513384	85.798	8.511	10.623	21.558	17.209	10.241	90.784	0	0	0	0
1717513385	86.098	8.517	10.630	21.571	17.209	10.247	90.766	0	0	0	0
1717513386	86.747	8.523	10.636	21.578	17.208	10.252	90.775	0	0	0	0
1717513387	85.841	8.528	10.643	21.614	17.208	10.258	90.755	0	0	0	0
1717513388	85.495	8.534	10.650	21.595	17.207	10.264	90.784	0	0	0	0
1717513389	86.475	8.540	10.657	21.616	17.207	10.270	90.771	0	0	0	0
1717513390	86.248	8.545	10.664	21.616	17.206	10.276	90.770	0	0	0	0
1717513391	86.262	8.551	10.671	21.635	17.206	10.282	90.766	0	0	0	0
1717513392	85.615	8.557	10.677	21.643	17.205	10.288	90.784	0	0	0	0
1717513393	85.726	8.563	10.684	21.657	17.204	10.294	90.756	0	0	0	0
1717513394	85.769	8.569	10.691	21.647	17.204	10.300	90.764	0	0	0	0
1717513395	86.307	8.575	10.698	21.657	17.203	10.306	90.756	0	0	0	0
1717513396	85.929	8.581	10.704	21.660	17.202	10.311	90.790	0	0	0	0
