TIMESTAMP	HEAD He3	SENS HEAD He3	HEAD He4	SENS HEAD He4	PUMP He3	SENS PUMP He3	SWITCH He3	SENS SWITCH He3	PUMP He4	SENS PUMP He4	SWITCH He4	SENS SWITCH He4	Cernox	SENS Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1731676812	114.197	1017.30000	300.000	0.908	300.000	0.907	300.000	1028.320	300.000	0.911	300.000	0.907	117.742	52.741	0	0	0	0
1731676813	114.883	1017.30000	300.000	0.908	300.000	0.907	300.000	1028.380	300.000	0.911	300.000	0.907	117.756	52.741	0	0	0	0
1731676814	114.160	1017.30000	300.000	0.908	300.000	0.907	300.000	1028.410	300.000	0.911	300.000	0.907	117.742	52.743	0	0	0	0
1731676815	114.808	1017.40000	300.000	0.908	300.000	0.907	300.000	1028.420	300.000	0.911	300.000	0.907	117.738	52.737	0	0	0	0
1731676816	115.285	1017.30000	300.000	0.908	300.000	0.907	300.000	1028.340	300.000	0.911	300.000	0.907	117.769	52.738	0	0	0	0
1731676817	113.669	1017.50000	300.000	0.908	300.000	0.907	300.000	1028.330	300.000	0.911	300.000	0.907	117.736	52.747	0	0	0	0
1731676818	114.257	1017.40000	300.000	0.908	300.000	0.907	300.000	1028.410	300.000	0.911	300.000	0.907	117.741	52.740	0	0	0	0
1731676819	114.868	1017.20000	300.000	0.908	300.000	0.906	300.000	1028.340	300.000	0.911	300.000	0.907	117.751	52.737	0	0	0	0
1731676820	115.382	1017.30000	300.000	0.908	300.000	0.906	300.000	1028.440	300.000	0.911	300.000	0.907	117.752	52.738	0	0	0	0
1731676821	113.177	1017.40000	300.000	0.908	300.000	0.906	300.000	1028.440	300.000	0.911	300.000	0.907	117.787	52.731	0	0	0	0
1731676822	113.564	1017.30000	300.000	0.908	300.000	0.906	300.000	1028.510	300.000	0.911	300.000	0.907	117.750	52.736	0	0	0	0
1731676823	113.847	1017.40000	300.000	0.908	300.000	0.906	300.000	1028.440	300.000	0.911	300.000	0.907	117.797	52.729	0	0	0	0
1731676824	113.736	1017.30000	300.000	0.908	300.000	0.906	300.000	1028.370	300.000	0.911	300.000	0.907	117.799	52.731	0	0	0	0
1731676825	114.980	1017.30000	300.000	0.908	300.000	0.906	300.000	1028.390	300.000	0.911	300.000	0.907	117.794	52.724	0	0	0	0
1731676826	115.575	1017.10000	300.000	0.908	300.000	0.906	300.000	1028.490	300.000	0.911	300.000	0.907	117.814	52.731	0	0	0	0
