TIMESTAMP	HEAD He3	SENS HEAD He3	PUMP He3	SENS PUMP He3	SWITCH He3	SENS SWITCH He3	HEAD He4	SENS HEAD He4	PUMP He4	SENS PUMP He4	SWITCH He4	SENS SWITCH He4	Cernox	SENS Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1732287546	286.260	1000.70000000	275.291	0.58421000	275.822	0.58298000	263.180	1019.53000000	275.250	0.58431000	275.618	0.58345000	279.975	31.90800000	0	0	0	0
1732287547	289.179	1000.60000000	275.291	0.58421000	275.823	0.58298000	271.332	1019.52000000	275.251	0.58430000	275.618	0.58345000	280.070	31.90100000	0	0	0	0
1732287548	285.416	1000.60000000	275.292	0.58421000	275.824	0.58298000	275.190	1019.46000000	275.252	0.58430000	275.619	0.58345000	279.904	31.91200000	0	0	0	0
1732287549	288.180	1000.50000000	275.293	0.58421000	275.824	0.58298000	265.815	1019.50000000	275.252	0.58430000	275.620	0.58345000	279.997	31.90600000	0	0	0	0
1732287550	289.645	1000.50000000	275.294	0.58420000	275.825	0.58298000	259.203	1019.55000000	275.253	0.58430000	275.621	0.58345000	279.926	31.91100000	0	0	0	0
1732287551	292.941	1000.30000000	275.294	0.58420000	275.825	0.58297000	274.358	1019.49000000	275.254	0.58430000	275.621	0.58345000	279.941	31.91000000	0	0	0	0
1732287552	293.119	1000.20000000	275.294	0.58420000	275.826	0.58297000	271.148	1019.52000000	275.255	0.58429000	275.622	0.58345000	280.050	31.90300000	0	0	0	0
1732287553	289.623	1000.50000000	275.295	0.58420000	275.827	0.58297000	271.148	1019.54000000	275.255	0.58429000	275.623	0.58344000	279.925	31.91100000	0	0	0	0
1732287554	288.879	1000.50000000	275.295	0.58420000	275.827	0.58297000	269.125	1019.47000000	275.256	0.58429000	275.623	0.58344000	279.892	31.91300000	0	0	0	0
1732287555	287.469	1000.60000000	275.296	0.58420000	275.828	0.58297000	268.942	1019.56000000	275.256	0.58429000	275.624	0.58344000	279.895	31.91300000	0	0	0	0
1732287556	290.388	1000.50000000	275.297	0.58420000	275.828	0.58297000	260.775	1019.55000000	275.257	0.58429000	275.625	0.58344000	279.962	31.90800000	0	0	0	0
1732287557	289.478	1000.50000000	275.297	0.58420000	275.829	0.58297000	269.861	1019.49000000	275.257	0.58429000	275.625	0.58344000	279.932	31.91000000	0	0	0	0
1732287558	290.233	1000.50000000	275.298	0.58419000	275.829	0.58296000	272.803	1019.49000000	275.258	0.58429000	275.625	0.58344000	280.092	31.90000000	0	0	0	0
1732287559	292.120	1000.30000000	275.299	0.58419000	275.830	0.58296000	273.756	1019.43000000	275.259	0.58429000	275.626	0.58344000	280.052	31.90200000	0	0	0	0
1732287560	288.058	1000.50000000	275.299	0.58419000	275.831	0.58296000	272.436	1019.51000000	275.260	0.58428000	275.627	0.58343000	279.994	31.90600000	0	0	0	0
1732287561	285.760	1000.50000000	275.300	0.58419000	275.831	0.58296000	257.791	1019.59000000	275.260	0.58428000	275.627	0.58343000	279.884	31.91400000	0	0	0	0
1732287562	292.852	1000.40000000	275.300	0.58419000	275.831	0.58296000	263.273	1019.52000000	275.261	0.58428000	275.627	0.58343000	280.167	31.89500000	0	0	0	0
