TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1729157101	5.248	23.122	5.493	4.757	36.297	5.828	5.268	0	0	0	0
1729157102	5.250	23.136	5.496	4.757	36.344	5.830	5.268	0	0	0	0
1729157103	5.250	23.146	5.497	4.756	36.377	5.831	5.267	0	0	0	0
1729157104	5.251	23.153	5.498	4.756	36.400	5.833	5.270	0	0	0	0
1729157105	5.249	23.159	5.499	4.756	36.413	5.834	5.270	0	0	0	0
1729157106	5.250	23.162	5.500	4.756	36.419	5.834	5.270	0	0	0	0
1729157107	5.249	23.165	5.501	4.756	36.419	5.835	5.269	0	1	0	0
1729157108	5.248	23.166	5.501	4.754	36.414	5.836	5.269	0	1	0	0
1729157109	5.248	23.167	5.501	4.754	36.405	5.836	5.268	0	1	0	0
1729157110	5.252	23.167	5.502	4.754	36.395	5.837	5.270	0	0	0	0
1729157111	5.250	23.167	5.502	4.754	36.388	5.837	5.269	0	0	0	0
1729157112	5.250	23.167	5.502	4.753	36.384	5.837	5.268	0	0	0	0
1729157113	5.248	23.166	5.502	4.753	36.383	5.837	5.268	0	0	0	0
1729157114	5.242	23.165	5.502	4.753	36.383	5.837	5.264	0	0	0	0
1729157115	5.242	23.164	5.502	4.752	36.384	5.838	5.265	0	0	0	0
1729157116	5.239	23.163	5.502	4.752	36.384	5.838	5.267	0	0	0	0
1729157117	5.243	23.162	5.502	4.752	36.383	5.838	5.266	0	0	0	0
1729157118	5.245	23.160	5.502	4.752	36.380	5.838	5.267	0	0	0	0
1729157119	5.245	23.159	5.502	4.752	36.375	5.838	5.267	0	0	0	0
1729157120	5.251	23.158	5.502	4.752	36.369	5.838	5.268	0	0	0	0
1729157121	5.250	23.156	5.502	4.751	36.360	5.838	5.269	0	0	0	0
1729157122	5.252	23.155	5.502	4.751	36.349	5.838	5.268	0	0	0	0
1729157123	5.248	23.153	5.502	4.751	36.337	5.838	5.271	0	0	0	0
1729157124	5.253	23.152	5.502	4.750	36.322	5.838	5.271	0	0	0	0
1729157125	5.252	23.150	5.502	4.749	36.307	5.838	5.272	0	0	0	0
1729157126	5.253	23.149	5.501	4.748	36.290	5.838	5.272	0	0	0	0
1729157127	5.257	23.147	5.501	4.748	36.272	5.838	5.271	0	0	0	0
1729157128	5.249	23.145	5.501	4.747	36.252	5.838	5.273	0	0	0	0
1729157129	5.251	23.144	5.501	4.746	36.232	5.838	5.273	0	0	0	0
1729157130	5.251	23.142	5.500	4.746	36.212	5.838	5.271	0	0	0	0
1729157131	5.252	23.140	5.500	4.745	36.191	5.838	5.270	0	0	0	0
1729157132	5.249	23.139	5.500	4.744	36.169	5.838	5.271	0	0	0	0
1729157133	5.250	23.137	5.499	4.744	36.148	5.838	5.271	0	0	0	0
1729157134	5.252	23.136	5.499	4.744	36.127	5.838	5.270	0	0	0	0
1729157135	5.254	23.134	5.498	4.742	36.105	5.838	5.271	0	0	0	0
1729157136	5.248	23.132	5.498	4.742	36.084	5.837	5.270	0	0	0	0
1729157137	5.250	23.131	5.497	4.741	36.063	5.837	5.270	0	0	0	0
1729157138	5.253	23.130	5.497	4.740	36.042	5.837	5.269	0	0	0	0
1729157139	5.251	23.128	5.496	4.739	36.021	5.837	5.269	0	0	0	0
1729157140	5.251	23.126	5.496	4.739	36.001	5.836	5.271	0	0	0	0
1729157141	5.252	23.125	5.495	4.738	35.980	5.836	5.271	0	0	0	0
1729157142	5.250	23.123	5.495	4.737	35.960	5.836	5.271	0	0	0	0
1729157143	5.252	23.122	5.494	4.735	35.941	5.835	5.269	0	0	0	0
1729157144	5.251	23.120	5.494	4.734	35.921	5.835	5.269	0	0	0	0
1729157145	5.249	23.118	5.493	4.733	35.902	5.835	5.270	0	0	0	0
1729157146	5.250	23.116	5.492	4.733	35.883	5.834	5.271	0	0	0	0
1729157147	5.250	23.115	5.492	4.733	35.864	5.834	5.272	0	0	0	0
1729157148	5.251	23.113	5.491	4.732	35.846	5.833	5.272	0	0	0	0
1729157149	5.249	23.111	5.490	4.731	35.828	5.833	5.270	0	0	0	0
1729157150	5.257	23.110	5.489	4.730	35.811	5.832	5.272	0	0	0	0
1729157151	5.254	23.108	5.489	4.728	35.795	5.832	5.273	0	0	0	0
1729157152	5.250	23.106	5.488	4.728	35.778	5.831	5.272	0	0	0	0
