TIMESTAMP	HEAD He3	PUMP He3	SWITCH He3	HEAD He4	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1729604371	293.629	300.000	300.000	300.000	300.000	300.000	295.709	0	0	0	0
1729604372	288.413	300.000	300.000	300.000	300.000	300.000	295.771	0	0	0	0
1729604373	289.434	300.000	300.000	300.000	300.000	300.000	295.777	0	0	0	0
1729604374	288.946	300.000	300.000	300.000	300.000	300.000	295.826	0	0	0	0
1729604375	288.635	300.000	300.000	300.000	300.000	300.000	295.720	0	0	0	0
1729604376	295.139	300.000	300.000	300.000	300.000	300.000	295.747	0	0	0	0
1729604377	294.761	300.000	300.000	300.000	300.000	300.000	295.787	0	0	0	0
1729604378	294.917	300.000	300.000	300.000	300.000	300.000	295.758	0	0	0	0
1729604379	293.230	300.000	300.000	300.000	300.000	300.000	295.709	0	0	0	0
1729604380	294.806	300.000	300.000	300.000	300.000	300.000	295.811	0	0	0	0
1729604381	294.695	300.000	300.000	300.000	300.000	300.000	295.662	0	0	0	0
1729604382	299.667	300.000	300.000	300.000	300.000	300.000	295.810	0	0	0	0
1729604383	295.694	300.000	300.000	300.000	300.000	300.000	295.850	0	0	0	0
1729604384	291.676	300.000	300.000	300.000	300.000	300.000	295.734	0	0	0	0
1729604385	295.516	300.000	300.000	300.000	300.000	300.000	295.734	0	0	0	0
1729604386	292.941	300.000	300.000	300.000	300.000	300.000	295.645	0	0	0	0
1729604387	295.250	300.000	300.000	300.000	300.000	300.000	295.749	0	0	0	0
1729604388	296.182	300.000	300.000	300.000	300.000	300.000	295.771	0	0	0	0
1729604389	292.142	300.000	300.000	300.000	300.000	300.000	295.667	0	0	0	0
1729604390	290.278	300.000	300.000	300.000	300.000	300.000	295.762	0	0	0	0
1729604391	289.922	300.000	300.000	300.000	300.000	300.000	295.764	0	0	0	0
1729604392	292.608	300.000	300.000	300.000	300.000	300.000	295.739	0	0	0	0
1729604393	296.448	300.000	300.000	300.000	300.000	300.000	295.750	0	0	0	0
1729604394	296.182	300.000	300.000	300.000	300.000	300.000	295.706	0	0	0	0
1729604395	295.272	300.000	300.000	300.000	300.000	300.000	295.732	0	0	0	0
1729604396	298.047	300.000	300.000	300.000	300.000	300.000	295.761	0	0	0	0
1729604397	297.980	300.000	300.000	300.000	300.000	300.000	295.740	0	0	0	0
1729604398	295.827	300.000	300.000	300.000	300.000	300.000	295.824	0	0	0	0
1729604399	296.337	300.000	300.000	300.000	300.000	300.000	295.718	0	0	0	0
1729604400	293.274	300.000	300.000	300.000	300.000	300.000	295.687	0	0	0	0
1729604401	293.030	300.000	300.000	300.000	300.000	300.000	295.713	0	0	0	0
1729604402	295.472	300.000	300.000	300.000	300.000	300.000	295.635	0	0	0	0
1729604403	292.653	300.000	300.000	300.000	300.000	300.000	295.704	0	0	0	0
1729604404	295.316	300.000	300.000	300.000	300.000	300.000	295.693	0	0	0	0
1729604405	293.896	300.000	300.000	300.000	300.000	300.000	295.712	0	0	0	0
1729604406	298.113	300.000	300.000	300.000	300.000	300.000	295.695	0	0	0	0
1729604407	295.405	300.000	300.000	300.000	300.000	300.000	295.983	0	0	0	0
1729604408	290.966	300.000	300.000	300.000	300.000	300.000	295.766	0	0	0	0
1729604409	298.113	290.230	300.000	300.000	300.000	300.000	295.761	0	0	0	0
1729604410	294.828	290.230	300.000	300.000	300.000	300.000	295.862	0	0	0	0
1729604411	294.206	290.230	300.000	300.000	300.000	300.000	295.817	0	0	0	0
1729604412	288.946	290.230	300.000	300.000	300.000	300.000	295.815	0	0	0	0
1729604413	292.564	290.230	300.000	300.000	300.000	300.000	295.730	0	0	0	0
1729604414	296.160	290.230	300.000	300.000	300.000	300.000	295.777	0	0	0	0
1729604415	293.252	290.229	300.000	300.000	300.000	300.000	295.719	0	0	0	0
1729604416	292.764	290.230	300.000	300.000	300.000	300.000	295.813	0	0	0	0
1729604417	296.471	290.230	300.000	300.000	300.000	300.000	295.754	0	0	0	0
1729604418	295.361	290.230	300.000	300.000	300.000	300.000	295.803	0	0	0	0
1729604419	299.467	290.230	300.000	300.000	300.000	300.000	295.639	0	0	0	0
1729604420	295.006	290.230	300.000	300.000	300.000	300.000	295.688	0	0	0	0
