TIMESTAMP	HEAD He3	SENS HEAD He3	HEAD He4	SENS HEAD He4	PUMP He3	SENS PUMP He3	SWITCH He3	SENS SWITCH He3	PUMP He4	SENS PUMP He4	SWITCH He4	SENS SWITCH He4	Cernox	SENS Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1731678662	117.661	1016.80000	139.104	0.90040	139.636	0.89925	139.110	1027.87000	137.433	0.90401	139.277	0.90002	121.230	51.91000	0	0	0	0
1731678663	117.862	1016.70000	139.107	0.90039	139.638	0.89924	139.560	1027.85000	137.435	0.90401	139.279	0.90002	121.214	51.91300	0	0	0	0
1731678664	116.953	1016.90000	139.109	0.90039	139.641	0.89924	139.450	1027.87000	137.438	0.90400	139.282	0.90001	121.197	51.92000	0	0	0	0
1731678665	118.458	1016.80000	139.111	0.90038	139.643	0.89923	139.596	1027.81000	137.440	0.90400	139.284	0.90001	121.210	51.91600	0	0	0	0
1731678666	118.354	1016.80000	139.113	0.90038	139.645	0.89923	139.385	1027.86000	137.442	0.90400	139.286	0.90001	121.230	51.90900	0	0	0	0
1731678667	119.054	1016.60000	139.115	0.90038	139.647	0.89922	139.670	1027.81000	137.444	0.90399	139.288	0.90000	121.227	51.91600	0	0	0	0
1731678668	120.400	1016.50000	139.117	0.90037	139.649	0.89922	139.899	1027.78000	137.446	0.90399	139.290	0.90000	121.174	51.91600	0	0	0	0
1731678669	120.096	1016.40000	139.119	0.90037	139.651	0.89922	140.264	1027.78000	137.448	0.90398	139.292	0.89999	121.228	51.91300	0	0	0	0
1731678670	118.749	1016.70000	139.120	0.90036	139.653	0.89921	139.844	1027.81000	137.450	0.90398	139.294	0.89999	121.203	51.91200	0	0	0	0
1731678671	118.257	1016.70000	139.122	0.90036	139.655	0.89921	139.468	1027.87000	137.452	0.90397	139.295	0.89998	121.229	51.91800	0	0	0	0
1731678672	118.644	1016.60000	139.124	0.90035	139.657	0.89920	138.541	1027.95000	137.454	0.90397	139.297	0.89998	121.225	51.90800	0	0	0	0
1731678673	117.639	1016.70000	139.126	0.90035	139.659	0.89920	139.128	1027.87000	137.456	0.90397	139.299	0.89998	121.233	51.91300	0	0	0	0
1731678674	118.205	1016.70000	139.128	0.90035	139.661	0.89919	139.532	1027.86000	137.457	0.90396	139.301	0.89997	121.223	51.91100	0	0	0	0
1731678675	121.186	1016.30000	139.130	0.90034	139.662	0.89919	139.156	1027.93000	137.459	0.90396	139.303	0.89997	121.216	51.91400	0	0	0	0
1731678676	119.955	1016.60000	139.132	0.90034	139.664	0.89919	139.413	1027.82000	137.461	0.90395	139.305	0.89996	121.244	51.90400	0	0	0	0
1731678677	119.784	1016.40000	139.134	0.90033	139.666	0.89918	139.734	1027.81000	137.463	0.90395	139.307	0.89996	121.242	51.90800	0	0	0	0
1731678678	119.724	1016.50000	139.135	0.90033	139.668	0.89918	139.642	1027.83000	137.465	0.90395	139.308	0.89996	121.224	51.91100	0	0	0	0
1731678679	119.024	1016.50000	139.137	0.90033	139.669	0.89918	139.807	1027.78000	137.466	0.90394	139.310	0.89995	121.233	51.91200	0	0	0	0
1731678680	120.485	1016.40000	139.139	0.90032	139.671	0.89917	139.807	1027.81000	137.468	0.90394	139.312	0.89995	121.227	51.91500	0	0	0	0
1731678681	120.319	1016.50000	139.141	0.90032	139.673	0.89917	139.321	1027.86000	137.470	0.90393	139.314	0.89994	121.222	51.90700	0	0	0	0
1731678682	119.345	1016.70000	139.142	0.90032	139.675	0.89916	139.376	1027.89000	137.472	0.90393	139.316	0.89994	121.225	51.90700	0	0	0	0
1731678683	120.004	1016.50000	139.144	0.90031	139.677	0.89916	138.991	1027.89000	137.474	0.90393	139.317	0.89994	121.234	51.91600	0	0	0	0
1731678684	118.853	1016.60000	139.146	0.90031	139.679	0.89915	139.294	1027.87000	137.476	0.90392	139.319	0.89993	121.232	51.91200	0	0	0	0
1731678685	118.592	1016.80000	139.148	0.90030	139.681	0.89915	139.394	1027.86000	137.478	0.90392	139.321	0.89993	121.210	51.91000	0	0	0	0
1731678686	117.937	1016.60000	139.149	0.90030	139.683	0.89915	139.881	1027.80000	137.480	0.90391	139.323	0.89992	121.232	51.91100	0	0	0	0
1731678687	118.138	1016.70000	139.152	0.90030	139.685	0.89914	140.280	1027.75000	137.481	0.90391	139.325	0.89992	121.231	51.90800	0	0	0	0
1731678688	120.830	1016.60000	139.153	0.90029	139.687	0.89914	139.661	1027.82000	137.483	0.90391	139.327	0.89992	121.253	51.90600	0	0	0	0
1731678689	119.106	1016.60000	139.155	0.90029	139.688	0.89913	139.183	1027.87000	137.485	0.90390	139.329	0.89991	121.230	51.90700	0	0	0	0
1731678690	119.978	1016.60000	139.157	0.90028	139.690	0.89913	139.376	1027.83000	137.486	0.90390	139.331	0.89991	121.258	51.90800	0	0	0	0
1731678691	118.406	1016.60000	139.159	0.90028	139.692	0.89913	139.633	1027.83000	137.488	0.90389	139.332	0.89990	121.246	51.90000	0	0	0	0
1731678692	118.905	1016.70000	139.161	0.90027	139.694	0.89912	139.881	1027.80000	137.490	0.90389	139.334	0.89990	121.255	51.90600	0	0	0	0
1731678694	119.717	1016.40000	139.163	0.90027	139.696	0.89912	139.587	1027.85000	137.491	0.90389	139.336	0.89990	121.231	51.91200	0	0	0	0
1731678695	120.222	1016.60000	139.165	0.90027	139.697	0.89911	139.624	1027.83000	137.494	0.90388	139.338	0.89989	121.250	51.90400	0	0	0	0
1731678696	119.650	1016.60000	139.167	0.90026	139.699	0.89911	139.312	1027.86000	137.496	0.90388	139.340	0.89989	121.232	51.91200	0	0	0	0
1731678697	118.279	1016.60000	139.169	0.90026	139.701	0.89911	139.761	1027.83000	137.497	0.90388	139.341	0.89988	121.251	51.90700	0	0	0	0
1731678698	118.719	1016.60000	139.170	0.90026	139.703	0.89910	139.532	1027.88000	137.499	0.90387	139.343	0.89988	121.259	51.90300	0	0	0	0
1731678699	118.540	1016.70000	139.172	0.90025	139.704	0.89910	139.495	1027.84000	137.501	0.90387	139.345	0.89988	121.250	51.89900	0	0	0	0
1731678700	118.734	1016.60000	139.174	0.90025	139.706	0.89910	140.192	1027.73000	137.503	0.90386	139.347	0.89987	121.283	51.89900	0	0	0	0
1731678701	118.339	1016.80000	139.175	0.90024	139.708	0.89909	139.523	1027.83000	137.504	0.90386	139.348	0.89987	121.237	51.90500	0	0	0	0
1731678702	119.047	1016.60000	139.177	0.90024	139.710	0.89909	139.064	1027.89000	137.506	0.90386	139.350	0.89987	121.256	51.90900	0	0	0	0
1731678703	119.873	1016.40000	139.179	0.90024	139.712	0.89908	139.706	1027.81000	137.508	0.90385	139.353	0.89986	121.266	51.89800	0	0	0	0
1731678704	118.428	1016.60000	139.180	0.90023	139.713	0.89908	140.135	1027.74000	137.510	0.90385	139.354	0.89986	121.289	51.90100	0	0	0	0
1731678705	120.137	1016.50000	139.182	0.90023	139.715	0.89908	140.306	1027.77000	137.512	0.90384	139.356	0.89985	121.285	51.89700	0	0	0	0
1731678706	119.933	1016.60000	139.184	0.90023	139.717	0.89907	139.642	1027.80000	137.513	0.90384	139.357	0.89985	121.270	51.89800	0	0	0	0
